variable,pretty_name,pretty_name_short
log_TumorDetect.v1.2.0...Supporting.Result...Area.of.Necrosis...mm.2,(AI) Necrosis Area [log mm²],(AI) Necro. Area [log]
sq_TumorDetect.v1.2.0...Supporting.Result...Area.of.Necrosis...mm.2,(AI) Necrosis Area [sq mm²],(AI) Necro. Area [sq]
log_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Scanning....,(AI) Tissue with Scanning Artifacts [log],(AI) Tiss. w/ Scan. Art. [log]
sq_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Scanning....,(AI) Tissue with Scanning Artifacts [sq],(AI) Tiss. w/ Scan. Art. [sq]
log_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Coverslipping....,(AI) Tissue with Coverslipping Artifacts [log],(AI) Tiss. w/ Cover. Art. [log]
sq_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Coverslipping....,(AI) Tissue with Coverslipping Artifacts [sq],(AI) Tiss. w/ Cover. Art. [sq]
log_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Sectioning....,(AI) Tissue with Sectioning Artifacts [log],(AI) Tiss. w/ Sect. Art. [log]
sq_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Sectioning....,(AI) Tissue with Sectioning Artifacts [sq],(AI) Tiss. w/ Sect. Art. [sq]
log_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Grossing.Marker....,(AI) Tissue with Grossing Marker Artifacts [log],(AI) Tiss. w/ Gross. Art. [log]
sq_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Grossing.Marker....,(AI) Tissue with Grossing Marker Artifacts [sq],(AI) Tiss. w/ Gross. Art. [sq]
log_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Other....,(AI) Tissue with Other Artifacts [log],(AI) Tiss. w/ Other Art. [log]
sq_Artifact.Detect.v3.0.0...Key.Result.....Tissue.with.artifacts.Other....,(AI) Tissue with Other Artifacts [sq],(AI) Tiss. w/ Other Art. [sq]
log_Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Evaluable.Tissue...mm.2,(AI) Evaluable Tissue Area [log mm²],(AI) Eval. Tissue Area [log]
